nome;squadra_sigla;ruolo;quotazione;mercato;dispersione;prezzo_profeta_norm1000;pma_profeta;fascia_profeta;prezzo_recosta_norm1000;pma_recosta;fascia_recosta;mv;fmv;presenze;minuti;gol;assist;titolarita;affidabilita;integrita
Baldanzi;GEN;C;11;18.9;0.9;18.5;2.4;5° Slot Relativo;19.4;2.4;ALTO POTENZIALE;6.15;6.39;17;781;1;2;3;4;1
Isaksen;LAZ;C;9;18.9;0.9;18.5;1.4;6° Slot Relativo;19.4;1.4;FANTA ROTTO;6.04;6.63;27;1600;5;1;3;3;3
Kevin Carlos;CAG;A;13;18.9;0.9;18.5;1.2;5° Slot Relativo;19.4;1.2;SCOMMESSA;0;0;23;873;0;0;4;3;3
Sow;GEN;C;7;18.8;18.1;27.8;0.2;4° Slot Relativo;9.7;0.2;SCOMMESSA;0;0;33;2198;0;0;4;3;4
Pedraza;LAZ;D;5;17.6;3.6;15.8;0.4;5° Slot Relativo;19.4;0.4;Terza;0;0;27;1692;1;2;3;3;1
Perrone;COM;C;10;17.6;3.6;15.8;2.0;6° Slot Relativo;19.4;2.0;Quarta;6.22;6.47;36;2751;3;4;4;4;4
Adams C.;TOR;A;9;17.4;15.3;25.0;0.5;4° Slot Relativo;9.7;0.5;POSS OCCASIONE;5.98;6.64;32;1895;6;3;3;3;4
Jones C.;INT;C;12;17.1;34.3;34.3;4.0;4° Slot Relativo;0.0;4.0;Non Impostata;0;0;34;1930;0;2;3;4;2
Bijlow;GEN;P;8;17.0;3.0;18.5;1.6;da abbinare;15.5;1.6;Terza;6.06;4.78;16;1396;0;0;4;3;2
Cacciamani;TOR;C;5;16.8;22.0;27.8;0.8;4° Slot Relativo;5.8;0.8;SCOMMESSA;0;0;36;2601;2;4;4;4;5
Delprato;PAR;D;8;16.1;4.9;18.5;1.6;4° Slot Relativo;13.6;1.6;Quarta;5.91;6.01;35;2955;2;0;5;4;4
Scalvini;ATA;D;10;16.1;4.9;18.5;2.2;4° Slot Relativo;13.6;2.2;FANTA ROTTO;6.06;6.44;24;1819;3;1;5;4;1
Caprile;CAG;P;9;15.7;0.3;15.8;2.0;da abbinare;15.5;2.0;Terza;6.29;4.87;38;3420;0;0;5;4;3
Doekhi;LAZ;D;7;15.7;0.3;15.8;1.1;5° Slot Relativo;15.5;1.1;Quarta;0;0;34;3060;0;0;4;3;3
Bernasconi;ATA;D;6;15.7;7.4;12.0;2.0;6° Slot Relativo;19.4;2.0;ALTO POTENZIALE;6.09;6.16;22;1570;0;3;5;4;3
Chukwueze;MIL;C;6;15.5;11.6;21.3;1.0;5° Slot Relativo;9.7;1.0;ALTO POTENZIALE;5.5;5.5;1;25;0;0;3;3;3
Fazzini;CAG;C;7;15.5;11.6;21.3;1.3;5° Slot Relativo;9.7;1.3;FANTA ROTTO;5.88;5.8;12;574;0;0;5;4;2
Vitinha O.;GEN;A;8;15.5;11.6;21.3;1.2;4° Slot Relativo;9.7;1.2;TITOLARE;5.95;6.39;31;2242;5;1;5;3;2
Piccoli;BOL;A;8;15.1;6.9;18.5;1.4;5° Slot Relativo;11.6;1.4;SCOMMESSA;5.78;6.24;27;1662;4;1;3;3;4
Marcandalli;GEN;D;6;14.7;2.2;15.8;0.8;5° Slot Relativo;13.6;0.8;Quarta;5.87;5.84;31;2600;0;1;5;3;5
