nome;squadra_sigla;ruolo;quotazione;mercato;dispersione;prezzo_profeta_norm1000;pma_profeta;fascia_profeta;prezzo_recosta_norm1000;pma_recosta;fascia_recosta;mv;fmv;presenze;minuti;gol;assist;titolarita;affidabilita;integrita
Jashari;MIL;C;4;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;ALTRI;5.71;5.79;12;700;0;1;3;4;2
Keita M.;PAR;C;5;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;6.01;6.05;36;2994;1;1;5;3;3
Locatelli;JUV;C;8;2.3;0.9;2.8;1.0;Non Impostata;1.9;1.0;TITOLARE;6.26;6.19;36;3006;1;2;5;5;4
Pierotti;LEC;C;6;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;5.8;5.85;37;2629;1;1;4;3;5
Rovella;LAZ;C;6;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;TITOLARE;5.73;5.68;11;512;0;1;3;4;1
Stankovic A.;INT;C;3;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;ALTO POTENZIALE;0;0;39;3076;6;2;2;3;5
Frigan;PAR;A;5;2.3;0.9;2.8;0.2;6° Slot Relativo;1.9;0.2;FANTA ROTTO;0;0;3;175;1;0;3;3;1
Havel;GEN;A;4;2.3;0.9;2.8;0.2;6° Slot Relativo;1.9;0.2;ALTRI;0;0;30;2314;13;3;2;3;2
Mendy P.;CAG;A;4;2.3;0.9;2.8;0.2;6° Slot Relativo;1.9;0.2;SCOMMESSA;5.94;6.63;8;330;2;0;3;3;5
Noslin;LAZ;A;6;2.3;0.9;2.8;0.2;6° Slot Relativo;1.9;0.2;ALTRI;6.02;6.5;23;1134;4;2;3;4;3
Adorante;VEN;A;5;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;Non Impostata;0;0;33;2183;17;1;2;3;3
Ekhator;JUV;A;3;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;ALTRI;5.96;6.26;25;944;3;0;2;3;3
Gimenez;MIL;A;6;2.3;0.9;2.8;0.2;Non Impostata;1.9;0.2;ALTRI;5.5;5.5;15;897;0;1;2;2;1
Thiam;MON;P;5;1.4;2.8;2.8;0.2;da abbinare;0.0;0.2;Non Impostata;0;0;42;3780;0;0;4;3;5
Motta;LAZ;P;1;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;6;5.17;9;810;0;0;3;3;3
Pessina Mas.;BOL;P;1;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;6.13;5.63;4;352;0;0;2;3;5
Turati;SAS;P;1;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;6.17;5;6;533;0;0;3;3;3
Ghilardi;ROM;D;4;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.98;5.96;21;1086;0;0;3;4;4
Kouadio;MON;D;3;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;6;6;2;69;0;0;5;3;5
Mlacic;UDI;D;1;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.83;5.5;3;163;0;0;2;3;5
Puczka;GEN;D;2;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;0;0;0;;0;0;2;3;5
Rodriguez Ju.;CAG;D;3;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.63;5.72;16;1315;1;0;4;2;3
Addai;COM;C;5;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.96;6.54;12;687;3;0;2;4;2
Fadera;CAG;C;2;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.92;6.11;24;976;2;1;2;3;3
Gorter;LEC;C;1;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.5;5.5;1;27;0;0;1;3;5
Miller L.;UDI;C;3;1.4;2.8;2.8;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.92;5.92;19;989;0;2;2;4;5
Ciurria;MON;C;2;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;ALTRI;0;0;28;1600;1;3;4;3;3
Dagasso;VEN;C;1;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;ALTRI;0;0;30;1798;3;4;3;3;5
De Roon;ATA;C;4;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;5.97;6;34;2703;1;2;3;4;4
Maleh;LEC;C;2;1.4;2.8;2.8;0.3;Non Impostata;0.0;0.3;Non Impostata;5.69;5.71;21;1566;1;0;3;2;4
Miretti;JUV;C;3;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;5.97;6.2;15;604;1;1;2;4;3
Przyborek;LAZ;C;1;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;17;953;2;2;1;3;4
Borrelli;CAG;A;4;1.4;2.8;2.8;0.2;6° Slot Relativo;0.0;0.2;Non Impostata;5.92;6.46;26;1272;5;1;3;3;3
Camarda;MIL;A;5;1.4;2.8;2.8;0.2;6° Slot Relativo;0.0;0.2;Non Impostata;5.67;5.64;18;688;1;0;2;3;4
Lontani;PAR;A;1;1.4;2.8;2.8;0.2;6° Slot Relativo;0.0;0.2;Non Impostata;0;0;0;;0;0;3;3;5
Stulic;LEC;A;7;1.4;2.8;2.8;0.2;Non Impostata;0.0;0.2;Non Impostata;5.73;6.11;30;1713;4;0;3;2;3
Bertola;UDI;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.86;5.84;25;1761;0;1;3;3;4
Beukema;NAP;D;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.93;6.16;22;1679;2;0;3;3;3
Bracaglia;FRO;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;32;2439;5;2;3;3;5
Buongiorno;NAP;D;7;0.9;1.9;0.0;0.4;Non Impostata;1.9;0.4;FANTA ROTTO;5.89;5.87;32;2522;0;1;3;4;1
Correia T.;VEN;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;24;1394;0;0;3;3;1
Doig;SAS;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;POSS OCCASIONE;5.85;5.76;27;1920;0;0;3;3;3
Floriani Mussolini;LAZ;D;3;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.72;5.72;23;1162;0;1;2;3;5
Gaspar K.;LEC;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.83;5.64;21;1830;0;0;2;3;2
Gatti;JUV;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.94;6.22;16;1089;2;0;3;4;3
Holm;BOL;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;FANTA ROTTO;6.09;6.43;16;885;1;4;2;4;1
Marusic;LAZ;D;6;0.9;1.9;0.0;0.3;Non Impostata;1.9;0.3;TITOLARE;5.86;5.97;33;2785;1;2;4;4;3
Missori;SAS;D;1;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;0;0;32;2493;2;2;3;3;5
Mitaj;GEN;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;0;;0;0;3;3;3
Oyono A.;FRO;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;0;0;34;2764;1;4;4;3;3
Parisi;FIO;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;FANTA ROTTO;6.02;5.98;23;1527;1;1;1;4;3
Pavard;INT;D;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;POSS OCCASIONE;6.5;6.5;1;90;0;0;2;4;3
Ranieri L.;FIO;D;3;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.85;5.79;31;2472;1;0;2;3;4
Tavares N.;LAZ;D;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;POSS OCCASIONE;5.91;5.8;22;1481;0;0;3;3;2
Terzic;FRO;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;21;997;0;1;3;3;2
Valenti;PAR;D;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.96;5.83;27;2251;0;0;3;4;2
Veiga D.;LEC;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.82;5.7;36;3021;0;0;5;3;4
Vitik;BOL;D;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.94;5.86;18;1323;0;0;3;3;3
Akinsanmiro;MON;C;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.8;5.8;23;1447;0;1;3;3;3
Amondarain;BOL;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;0;0;0;;0;0;2;3;5
Amorim;GEN;C;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.72;5.66;9;553;0;0;3;3;5
Chakvetadze;UDI;C;2;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;0;0;29;1801;0;3;2;3;3
Dele-Bashiru;LAZ;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.69;5.83;21;1180;1;0;3;3;3
Diallo O.;PAR;C;3;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;0;;0;0;3;3;5
El Aynaoui;ROM;C;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.98;6.1;21;988;1;2;3;3;3
Fabbian;FIO;C;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.8;6.03;22;1188;2;0;2;3;3
Felici;CAG;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;FANTA ROTTO;6.05;6.55;11;409;2;1;3;4;1
Fofana Y.;MIL;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.85;6.06;33;2219;2;3;3;3;5
Folorunsho;NAP;C;4;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;6.04;6.21;26;2009;2;0;2;4;1
Frendrup;GEN;C;7;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.96;5.97;36;3089;1;0;5;4;4
Hasa;FRO;C;2;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;0;0;31;2295;5;4;2;3;4
Karlstrom;UDI;C;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.96;5.96;36;3153;1;0;5;4;4
Konè I.;SAS;C;9;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;FANTA ROTTO;6.19;6.63;35;2774;6;0;1;4;1
Koopmeiners;JUV;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.64;5.55;29;1819;0;0;2;3;3
Lobotka;NAP;C;7;0.9;1.9;0.0;0.4;Non Impostata;1.9;0.4;TITOLARE;6.05;6.1;31;2438;1;0;5;4;3
Loftus-Cheek;MIL;C;4;0.9;1.9;0.0;0.3;Non Impostata;1.9;0.3;ALTRI;6.1;6.53;21;1127;3;1;2;4;1
Matic;SAS;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.96;5.96;34;2669;1;1;5;3;5
Nicolussi Caviglia;PAR;C;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;SCOMMESSA;5.89;5.98;23;1458;0;4;3;4;5
Piotrowski;UDI;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;ALTRI;5.88;5.95;30;1700;1;0;3;4;3
Sorensen O.;PAR;C;3;0.9;1.9;0.0;0.3;Non Impostata;1.9;0.3;ALTRI;5.85;5.95;30;1835;1;1;3;3;3
Winks;CAG;C;6;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;0;0;34;2568;1;2;4;3;3
Zerbin;FRO;C;5;0.9;1.9;0.0;0.2;Non Impostata;1.9;0.2;TITOLARE;5.76;5.81;29;1645;0;2;3;4;5
Bleve;LEC;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;37;3330;0;0;1;3;3
Christensen O.;FIO;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;7.5;6.5;1;87;0;0;1;3;4
Contini;NAP;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;10;0;0;1;3;2
De Marzi;ROM;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Di Gennaro;INT;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;5;1;9;0;0;1;3;3
Gollini;ROM;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;2
Grandi;VEN;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;4
Happonen;BOL;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Lezzerini;FIO;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;3;0;0;1;3;2
Lolic;FRO;P;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;5
Mascardi;TOR;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;17;1486;0;0;3;3;5
Montipò;VEN;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6.2;4.94;35;3150;0;1;3;4;4
Padelli;UDI;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6.25;5.25;2;180;0;0;1;3;3
Penev;LEC;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Piana;UDI;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Pinsoglio;JUV;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;4;3
Pisseri;FRO;P;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;1;9;0;0;1;3;5
Pizzignacco;MON;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;2;3;4
Pozzi;VEN;P;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;5
Radunovic;CAG;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;16;1394;0;0;1;3;3
Renzetti;LAZ;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Russo A.;SAS;P;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;5
Satalino;SAS;P;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;3
Sherri;CAG;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;0;0;0;1;3;5
Siviero;TOR;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;3
Sommariva;GEN;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.75;3.75;2;175;0;0;1;3;5
Sportiello;ATA;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.5;4.5;1;90;0;0;1;3;2
Stolz;GEN;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;15;1350;0;0;1;3;5
Strajnar;MON;P;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;5
Terracciano;MIL;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6;2;124;0;0;1;4;4
Tornqvist;COM;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Torriani;MIL;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Vigorito;COM;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;4
Vismara;ATA;P;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Fortini;TOR;D;5;0.0;0.0;0.0;0.2;5° Slot Relativo;0.0;0.2;Non Impostata;5.96;5.96;12;528;0;0;2;4;3
Zè Pedro;CAG;D;5;0.0;0.0;0.0;0.2;8° Slot Relativo;0.0;0.2;Non Impostata;5.77;5.68;22;1705;0;1;4;2;3
Abankwah;UDI;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;31;2603;1;0;1;3;5
Akpoguma;FRO;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;8;58;0;0;4;3;1
Alhassane;BOL;D;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;27;1716;0;0;2;3;5
Amey;FRO;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;0;;0;0;1;3;4
Antov;MON;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;2;20;0;0;1;3;4
Arizala;UDI;D;4;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.8;5.8;5;183;0;0;1;3;5
Aurelio;CAG;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;33;2300;6;3;1;3;1
Badiashile;NAP;D;7;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;8;472;0;0;0;0;0
Bakoune;MON;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;22;1046;0;3;2;3;3
Biraghi;TOR;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.59;5.59;11;519;0;0;2;3;3
Britschgi;PAR;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.75;5.7;28;2096;0;2;3;3;5
Cabal;JUV;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.94;6.55;9;288;2;0;2;3;1
Calvani;FRO;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;35;2791;1;1;3;3;5
Candè;SAS;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.69;5.57;8;506;0;0;3;2;2
Carboni A.;MON;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;34;2557;2;2;4;3;4
Carboni F.;PAR;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6;6;2;111;0;0;2;3;5
Casale;BOL;D;3;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.65;5.65;10;677;0;0;1;2;2
Cinquegrano;SAS;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;2;3;5
Cittadini;FRO;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;25;1203;0;0;1;3;3
Corrado;FRO;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;16;560;3;0;1;3;5
Delli Carri;MON;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;36;2224;3;1;3;3;5
De Silvestri;BOL;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;6.05;5.95;10;491;0;0;1;3;2
De Winter;MIL;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.75;5.9;24;1804;1;1;2;2;3
Diawara S.;MIL;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;;0;0;1;3;5
Ebosse;UDI;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.75;5.69;16;1334;0;1;2;2;2
Estupinan;MIL;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.64;5.68;14;1036;1;1;2;2;4
Favasuli;NAP;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;41;3497;2;6;3;3;5
Franjic;VEN;D;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;19;1246;0;2;2;3;3
Goldaniga;COM;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;0;14;0;0;1;3;1
Gomes;VEN;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;12;631;0;0;2;3;5
Halhal;VEN;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;33;2849;1;2;3;3;3
Helland;BOL;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.5;5.33;6;488;0;0;1;2;4
Idrissi R.;CAG;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.82;6.08;17;765;2;0;2;3;4
Jean;LEC;D;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.8;5.7;5;191;0;0;1;3;3
Kamara H.;UDI;D;6;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.88;5.86;26;1869;0;2;3;3;3
Kofler;CAG;D;5;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;28;2416;3;0;2;3;5
Kossounou;ATA;D;3;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.94;6.1;16;984;1;0;2;4;2
Lazzari;LAZ;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.79;5.73;17;943;0;0;2;3;2
Leysen F.;SAS;D;5;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;27;1872;1;1;3;3;4
Lucchesi;MON;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;32;1776;1;0;3;3;4
Macchioni;SAS;D;1;0.0;0.0;0.0;;Non Impostata;0.0;;Non Impostata;0;0;0;90;0;0;;;
Marianucci;NAP;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.73;5.73;11;692;0;1;2;3;4
Marin R.;NAP;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;23;1979;2;0;4;3;5
Martin;GEN;D;5;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;5.97;6.11;29;2170;1;5;2;4;3
Matturro;GEN;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;19;940;0;0;1;2;2
Mazzocchi;NAP;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.94;5.94;9;301;0;1;1;3;3
Moreno M.;VEN;D;5;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;28;2256;0;0;3;3;3
Ndaba;LEC;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.5;5.5;9;540;0;0;2;2;5
Ndiaye;PAR;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.59;5.36;11;781;0;0;3;2;2
Odenthal;SAS;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;18;1574;1;0;3;3;4
Omar Fayed;FRO;D;1;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;8;553;0;0;1;3;1
Otoa;GEN;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.6;5.35;10;828;0;0;2;2;3
Oyono J.;FRO;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;0;0;13;484;0;1;2;3;5
Palma;UDI;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.5;5.5;4;116;0;0;2;3;3
Patric;LAZ;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.85;5.75;10;661;0;0;2;3;2
Pellegrini Lu.;LAZ;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.85;5.81;24;1476;1;0;2;3;2
Pieragnolo;SAS;D;1;0.0;0.0;0.0;0.3;Non Impostata;0.0;0.3;Non Impostata;0;0;0;;0;0;1;3;1
Pongracic;FIO;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.84;5.67;35;2920;0;0;3;3;3
Rugani;JUV;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.69;5.57;8;578;0;0;1;3;1
Sabelli;GEN;D;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.81;5.66;13;920;0;0;2;3;5
Sagrado;VEN;D;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;29;1297;1;1;1;3;3
Siebert;LEC;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.68;5.76;19;1700;1;0;4;3;3
Smolcic I.;COM;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.96;5.84;25;1667;0;1;3;3;5
Sutalo J.;LAZ;D;7;0.0;0.0;0.0;;Non Impostata;0.0;;Non Impostata;0;0;24;1797;0;0;;;
Sverko;VEN;D;3;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;0;0;25;1935;0;1;1;2;2
Terracciano F.;MIL;D;2;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.86;5.83;35;3012;2;0;2;3;3
Van Der Brempt;COM;D;2;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.96;5.96;14;930;0;1;2;3;2
Walukiewicz;SAS;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.81;5.74;34;2858;0;1;5;3;4
Zappa;CAG;D;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.9;5.98;25;1600;0;3;3;3;3
Ziolkowski;ROM;D;1;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.94;5.77;9;509;0;0;2;4;5
Aboukhlal;TOR;C;3;0.0;0.0;0.0;0.0;Non Impostata;0.0;0.0;Non Impostata;5.77;5.59;11;510;0;0;2;3;2
Almqvist;PAR;C;4;0.0;0.0;0.0;0.2;Non Impostata;0.0;0.2;Non Impostata;5.94;6.05;9;452;0;1;2;3;3
